Marital status,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Target_Numeric,total_units_enrolled,total_units_approved,approval_rate,avg_semester_grade,evaluation_load,is_mature_student,financial_risk,scholarship_effective,enrollment_stability
1,1,1,135.0,19,1,5,4,127.3,1,0,1,0,0,18,0,0,0,0,15.5,2.8,-4.06,Graduate,1,15,15,1.0,13.925625,16,0,0,0,0.9375
1,1,1,137.0,3,19,3,5,136.3,1,0,1,0,0,20,0,1,0,2,10.8,1.4,1.74,Graduate,1,10,8,0.8,12.375,16,0,0,0,0.625
1,1,1,140.0,19,19,7,7,124.6,1,0,1,0,0,18,0,0,0,0,16.2,0.3,-0.92,Enrolled,2,14,12,0.8571428571428571,12.583333333333332,15,0,0,0,0.9333333333333333
1,1,1,122.0,1,1,9,8,120.3,0,0,1,0,1,21,0,0,0,0,11.1,0.6,2.02,Graduate,1,0,0,0.0,0.0,0,0,0,0,0.0
1,1,1,127.0,1,38,4,7,121.8,1,0,1,0,0,20,0,0,0,0,12.7,3.7,-1.7,Enrolled,2,15,15,1.0,11.43125,23,0,0,0,0.6521739130434783
1,1,1,142.0,19,19,1,1,125.5,1,0,1,0,0,18,0,0,0,0,12.7,3.7,-1.7,Graduate,1,16,14,0.875,12.857142857142858,24,0,0,0,0.6666666666666666
1,1,1,125.0,1,38,4,7,114.9,1,0,1,0,1,19,0,0,0,0,11.1,0.6,2.02,Graduate,1,12,12,1.0,12.830357142857142,15,0,0,1,0.8
1,1,1,126.0,19,19,3,7,123.9,0,0,1,0,0,19,0,0,0,0,11.1,0.6,2.02,Graduate,1,15,13,0.8666666666666667,13.70547619047619,17,0,0,0,0.8823529411764706
1,1,1,151.0,19,38,9,9,157.0,1,1,1,0,1,18,0,0,0,0,7.6,2.6,0.32,Enrolled,2,12,9,0.75,11.3,20,0,1,1,0.6
1,1,1,115.0,19,38,7,8,116.4,1,0,1,0,0,21,0,0,0,0,16.2,0.3,-0.92,Graduate,1,12,12,1.0,12.330357142857142,18,0,0,0,0.6666666666666666
1,1,1,138.0,19,19,3,3,131.0,1,0,1,0,0,18,0,2,0,0,9.4,-0.8,-3.12,Enrolled,2,10,9,0.9,12.833333333333332,16,0,0,0,0.625
1,1,1,135.0,19,1,9,9,122.1,1,0,1,0,0,20,0,0,0,0,16.2,0.3,-0.92,Graduate,1,10,10,1.0,12.166666666666668,12,0,0,0,0.8333333333333334
1,1,1,127.0,3,3,1,10,118.8,1,0,1,1,0,19,0,0,0,0,16.2,0.3,-0.92,Enrolled,2,14,12,0.8571428571428571,13.325,16,0,0,0,0.875
1,1,39,150.0,4,5,4,2,150.0,0,0,1,1,0,21,0,0,0,0,16.2,0.3,-0.92,Enrolled,2,12,10,0.8333333333333334,11.214285714285715,32,0,0,0,0.375
1,1,1,125.0,42,3,125,124,130.0,1,0,1,1,0,20,2,0,0,0,8.9,1.4,3.51,Graduate,1,12,10,0.8333333333333334,13.116666666666667,16,0,0,0,0.75
1,1,1,143.0,1,1,4,6,138.8,0,0,0,1,0,18,0,0,0,0,8.9,1.4,3.51,Enrolled,2,10,5,0.5,12.416666666666668,17,0,1,0,0.5882352941176471
1,0,1,138.0,19,1,9,5,134.5,1,0,1,0,0,19,0,0,0,0,12.4,0.5,1.79,Graduate,1,12,12,1.0,13.520833333333332,14,0,0,0,0.8571428571428571
1,0,1,130.0,2,37,3,9,131.4,0,0,1,1,0,34,0,0,0,0,13.9,-0.3,0.79,Graduate,1,10,10,1.0,12.914285714285715,15,1,0,0,0.6666666666666666
1,1,1,130.0,38,37,9,6,102.5,0,1,0,1,0,37,0,0,0,0,8.9,1.4,3.51,Dropout,0,14,1,0.07142857142857142,5.0,14,1,1,0,1.0
1,1,10,133.1,34,37,0,0,128.8,1,0,1,1,0,43,0,0,0,0,7.6,2.6,0.32,Dropout,0,10,0,0.0,0.0,0,1,0,0,0.0
1,1,1,140.0,37,37,6,6,122.9,0,0,1,0,0,55,0,0,0,2,16.2,0.3,-0.92,Dropout,0,10,3,0.3,11.0,18,1,0,0,0.5555555555555556
4,0,1,120.0,19,19,9,3,113.9,1,0,1,0,0,39,0,0,0,0,7.6,2.6,0.32,Graduate,1,10,10,1.0,11.3,13,1,0,0,0.7692307692307693
1,1,39,120.0,4,4,3,6,120.0,0,1,0,0,0,20,2,0,1,0,12.4,0.5,1.79,Dropout,0,12,6,0.5,11.833333333333332,24,0,1,0,0.5
1,1,1,126.0,3,3,2,2,121.1,0,1,1,0,0,18,0,0,0,0,12.7,3.7,-1.7,Dropout,0,11,4,0.36363636363636365,6.375,11,0,1,0,1.0
1,1,1,133.0,3,19,2,7,120.4,1,0,1,0,0,22,0,0,0,0,8.9,1.4,3.51,Graduate,1,10,10,1.0,15.3,10,0,0,0,1.0
1,1,1,103.0,1,3,2,2,100.6,1,0,1,0,0,22,0,0,0,0,11.1,0.6,2.02,Graduate,1,15,12,0.8,14.135428571428571,18,0,0,0,0.8333333333333334
1,1,1,120.0,1,38,5,5,121.4,0,0,0,0,0,20,0,0,0,0,12.4,0.5,1.79,Dropout,0,12,9,0.75,13.4,14,0,1,0,0.8571428571428571
1,0,1,133.1,37,37,9,9,109.7,0,0,1,0,0,29,0,0,0,0,16.2,0.3,-0.92,Dropout,0,10,0,0.0,0.0,0,1,0,0,0.0
1,0,1,154.0,38,38,4,5,134.1,0,0,1,0,0,24,0,0,0,1,7.6,2.6,0.32,Enrolled,2,10,5,0.5,12.916666666666668,20,0,0,0,0.5
1,1,1,130.0,19,19,9,9,127.6,1,0,1,0,0,18,0,0,0,0,11.1,0.6,2.02,Graduate,1,12,11,0.9166666666666666,12.433333333333334,14,0,0,0,0.8571428571428571
1,1,1,132.0,37,19,7,7,132.4,1,0,1,0,1,22,0,0,0,0,11.1,0.6,2.02,Graduate,1,15,13,0.8666666666666667,13.644047619047619,17,0,0,1,0.8823529411764706
1,0,39,130.0,1,19,9,9,133.4,0,0,1,0,1,21,3,0,2,0,12.4,0.5,1.79,Graduate,1,12,12,1.0,12.392857142857142,13,0,0,1,0.9230769230769231
1,1,1,139.0,37,38,9,9,126.1,0,0,1,0,1,19,0,0,0,0,12.7,3.7,-1.7,Graduate,1,12,11,0.9166666666666666,12.583333333333334,14,0,0,1,0.8571428571428571
1,1,1,130.0,19,38,9,7,113.5,0,0,1,0,1,24,0,0,0,0,12.4,0.5,1.79,Graduate,1,12,12,1.0,13.916666666666666,12,0,0,1,1.0
1,1,1,139.0,37,38,6,6,121.3,1,0,1,0,1,19,0,0,0,0,9.4,-0.8,-3.12,Enrolled,2,16,12,0.75,11.833333333333334,20,0,0,1,0.8
1,1,1,127.0,1,19,7,7,121.8,1,0,1,0,1,20,0,0,0,0,9.4,-0.8,-3.12,Enrolled,2,12,7,0.5833333333333334,12.5,23,0,0,0,0.5217391304347826
1,1,1,167.0,37,37,90,90,159.3,0,0,1,0,0,19,0,0,0,0,7.6,2.6,0.32,Graduate,1,10,10,1.0,15.257142857142856,12,0,0,0,0.8333333333333334
1,0,1,130.0,38,38,9,9,120.0,0,0,1,0,0,27,0,0,0,0,9.4,-0.8,-3.12,Dropout,0,10,10,1.0,10.8,22,1,0,0,0.45454545454545453
1,1,1,130.0,1,19,5,5,129.1,1,0,1,0,0,18,0,0,0,0,15.5,2.8,-4.06,Graduate,1,15,15,1.0,13.319722222222222,19,0,0,0,0.7894736842105263
2,1,3,130.0,1,3,4,3,130.0,0,0,1,0,0,39,0,0,0,0,12.4,0.5,1.79,Dropout,0,12,0,0.0,0.0,16,1,0,0,0.75
1,1,40,129.0,3,3,2,2,155.3,1,0,1,0,0,27,0,0,5,0,12.4,0.5,1.79,Dropout,0,17,15,0.8823529411764706,12.95,22,1,0,0,0.7727272727272727
1,1,1,141.0,38,38,7,10,139.8,1,0,1,0,0,18,0,0,0,0,9.4,-0.8,-3.12,Graduate,1,16,16,1.0,14.935,16,0,0,0,1.0
1,1,1,125.0,38,37,4,9,115.2,1,0,1,0,0,18,0,0,0,0,7.6,2.6,0.32,Enrolled,2,0,0,0.0,0.0,0,0,0,0,0.0
1,1,1,125.0,19,19,9,9,114.9,0,0,1,0,0,18,0,0,0,0,16.2,0.3,-0.92,Graduate,1,15,13,0.8666666666666667,12.677380952380952,20,0,0,0,0.75
1,1,39,130.0,19,1,9,9,131.9,0,0,1,0,1,21,3,0,2,0,13.9,-0.3,0.79,Graduate,1,12,12,1.0,12.0,14,0,0,1,0.8571428571428571
1,1,1,133.0,1,37,4,7,126.0,1,0,1,1,1,19,0,0,0,0,10.8,1.4,1.74,Enrolled,2,0,0,0.0,0.0,0,0,0,0,0.0
1,1,1,127.0,1,1,3,4,130.2,1,0,1,1,0,19,0,0,0,0,10.8,1.4,1.74,Enrolled,2,12,6,0.5,10.7,14,0,0,0,0.8571428571428571
1,1,1,116.0,1,1,3,3,120.9,0,0,1,1,0,24,0,0,0,0,12.7,3.7,-1.7,Enrolled,2,12,0,0.0,0.0,12,0,0,0,1.0
4,1,19,133.1,1,1,5,5,126.0,1,0,1,1,0,29,2,0,1,0,13.9,-0.3,0.79,Dropout,0,15,10,0.6666666666666666,11.45,20,1,0,0,0.75
1,1,1,139.0,19,19,5,3,128.2,1,0,1,1,1,19,0,0,0,0,10.8,1.4,1.74,Graduate,1,0,0,0.0,0.0,0,0,0,0,0.0
1,1,39,130.0,19,37,9,9,130.0,1,0,1,1,0,23,0,0,0,0,8.9,1.4,3.51,Graduate,1,12,12,1.0,12.5,15,0,0,0,0.8
1,1,1,125.0,1,38,7,7,120.1,0,1,1,1,0,19,0,0,0,3,16.2,0.3,-0.92,Dropout,0,10,9,0.9,10.975,18,0,1,0,0.5555555555555556
1,1,1,160.0,19,37,7,10,100.0,0,0,1,1,0,26,0,0,0,0,12.7,3.7,-1.7,Enrolled,2,12,11,0.9166666666666666,11.4,15,1,0,0,0.8
1,1,1,148.0,38,37,5,5,134.0,0,0,1,1,0,18,0,0,0,0,7.6,2.6,0.32,Enrolled,2,10,0,0.0,0.0,14,0,0,0,0.7142857142857143
1,1,1,150.0,37,19,8,4,130.8,0,0,1,1,0,24,0,0,0,0,13.9,-0.3,0.79,Graduate,1,15,15,1.0,12.8625,16,0,0,0,0.9375
1,1,1,141.0,19,19,5,10,135.8,1,0,1,1,0,19,0,0,0,0,15.5,2.8,-4.06,Dropout,0,0,0,0.0,0.0,0,0,0,0,0.0
1,1,1,118.0,38,37,5,7,111.7,1,0,1,1,0,18,0,0,0,0,12.4,0.5,1.79,Dropout,0,12,4,0.3333333333333333,11.833333333333332,24,0,0,0,0.5
1,1,1,142.0,38,38,9,9,132.9,1,0,1,1,0,18,0,0,0,0,10.8,1.4,1.74,Graduate,1,12,9,0.75,12.333333333333334,19,0,0,0,0.631578947368421
1,1,1,120.0,19,19,4,7,115.5,1,1,1,1,0,18,0,0,0,0,10.8,1.4,1.74,Dropout,0,10,6,0.6,10.595238095238095,19,0,1,0,0.5263157894736842
1,1,1,106.0,19,37,7,7,106.0,1,0,1,1,1,21,0,0,0,0,9.4,-0.8,-3.12,Dropout,0,12,5,0.4166666666666667,10.75,19,0,0,0,0.631578947368421
1,1,1,121.0,1,19,9,8,120.3,1,1,1,1,1,19,0,0,0,0,8.9,1.4,3.51,Graduate,1,12,12,1.0,13.5,12,0,1,1,1.0
1,1,1,150.0,38,37,9,9,130.8,0,0,1,1,1,22,0,0,0,0,16.2,0.3,-0.92,Graduate,1,15,15,1.0,14.94920634920635,16,0,0,1,0.9375
2,0,1,120.0,37,37,9,6,117.0,0,0,1,1,0,33,0,0,0,0,10.8,1.4,1.74,Graduate,1,12,12,1.0,11.833333333333332,14,1,0,0,0.8571428571428571
1,1,1,114.0,19,19,9,9,110.2,1,0,1,1,0,20,0,0,0,0,10.8,1.4,1.74,Dropout,0,12,10,0.8333333333333334,12.2,15,0,0,0,0.8
1,0,2,140.0,3,3,2,2,155.7,1,0,1,1,0,35,0,1,0,0,10.8,1.4,1.74,Dropout,0,6,0,0.0,0.0,1,1,0,0,6.0
1,1,4,160.0,3,3,4,2,180.4,0,1,1,1,0,24,6,0,7,0,12.4,0.5,1.79,Dropout,0,24,16,0.6666666666666666,12.733333333333334,31,0,1,0,0.7741935483870968
1,1,1,120.0,19,19,4,4,125.5,0,0,1,1,0,18,0,0,0,0,12.7,3.7,-1.7,Enrolled,2,10,8,0.8,11.666666666666668,14,0,0,0,0.7142857142857143
2,0,1,130.0,37,37,9,6,110.0,1,0,1,0,0,33,0,0,0,0,9.4,-0.8,-3.12,Graduate,1,12,11,0.9166666666666666,11.0,18,1,0,0,0.6666666666666666
1,1,1,160.0,37,38,9,7,161.0,1,0,1,0,1,22,0,0,0,0,10.8,1.4,1.74,Graduate,1,16,14,0.875,13.08,16,0,0,1,1.0
1,1,1,120.0,1,19,4,5,100.0,0,0,1,0,1,25,0,0,0,0,9.4,-0.8,-3.12,Graduate,1,10,9,0.9,11.05,14,1,0,1,0.7142857142857143
1,1,1,124.0,19,38,4,0,117.6,1,0,1,1,0,20,0,1,0,0,7.6,2.6,0.32,Graduate,1,12,11,0.9166666666666666,10.933333333333334,15,0,0,0,0.8
1,1,1,143.0,38,37,9,9,128.7,1,0,1,1,0,23,0,0,0,0,11.1,0.6,2.02,Enrolled,2,10,9,0.9,13.9,11,0,0,0,0.9090909090909091
1,1,1,115.0,38,19,9,6,112.2,1,1,1,1,0,18,0,0,0,0,15.5,2.8,-4.06,Enrolled,2,10,2,0.2,5.0,18,0,1,0,0.5555555555555556
1,1,1,133.1,1,1,4,10,100.8,0,0,1,1,0,24,0,0,0,0,13.9,-0.3,0.79,Dropout,0,14,0,0.0,0.0,25,0,0,0,0.56
1,1,1,133.1,19,1,9,9,105.0,1,0,0,0,0,21,0,0,0,0,8.9,1.4,3.51,Graduate,1,12,12,1.0,13.75,12,0,1,0,1.0
1,1,1,133.1,1,1,4,4,100.0,0,0,1,0,0,26,0,1,0,0,8.9,1.4,3.51,Dropout,0,12,2,0.16666666666666666,6.0,13,1,0,0,0.9230769230769231
2,1,10,133.1,37,34,0,0,115.5,0,0,1,0,0,39,0,0,0,1,7.6,2.6,0.32,Dropout,0,12,3,0.25,6.333333333333333,26,1,0,0,0.46153846153846156
2,0,1,133.1,37,19,9,9,114.0,0,0,1,0,0,44,2,0,0,0,12.7,3.7,-1.7,Graduate,1,14,14,1.0,12.104166666666668,18,1,0,0,0.7777777777777778
1,1,1,130.0,38,3,9,2,137.0,1,0,1,1,0,19,0,0,0,0,13.9,-0.3,0.79,Enrolled,2,10,8,0.8,13.625,20,0,0,0,0.5
1,1,1,135.0,37,1,5,5,124.9,1,0,1,0,0,18,0,0,0,0,8.9,1.4,3.51,Graduate,1,12,12,1.0,13.5,12,0,0,0,1.0
1,1,1,132.0,37,37,7,7,120.3,1,0,1,0,1,18,0,0,0,0,12.4,0.5,1.79,Graduate,1,15,15,1.0,14.11388888888889,16,0,0,1,0.9375
1,1,1,135.0,1,2,9,1,134.3,1,0,1,0,0,19,0,2,0,0,12.7,3.7,-1.7,Enrolled,2,10,10,1.0,14.0,14,0,0,0,0.7142857142857143
1,1,1,115.0,3,3,2,2,111.5,1,1,0,0,0,19,0,0,0,0,13.9,-0.3,0.79,Dropout,0,14,4,0.2857142857142857,5.98,17,0,1,0,0.8235294117647058
1,1,42,130.0,38,38,9,9,128.8,0,0,1,0,0,21,7,0,4,0,8.9,1.4,3.51,Dropout,0,19,13,0.6842105263157895,13.1375,26,0,0,0,0.7307692307692307
1,1,1,133.1,1,1,9,10,110.0,1,0,1,0,0,20,0,0,0,0,16.2,0.3,-0.92,Graduate,1,0,0,0.0,0.0,0,0,0,0,0.0
2,0,1,130.0,37,37,6,5,113.5,1,0,1,0,0,36,0,0,0,0,9.4,-0.8,-3.12,Dropout,0,12,0,0.0,0.0,0,1,0,0,0.0
4,1,12,133.1,37,37,9,6,160.0,0,0,1,0,0,43,13,0,10,1,15.5,2.8,-4.06,Graduate,1,31,31,1.0,14.431174089068826,33,1,0,0,0.9393939393939394
1,1,1,123.0,19,19,9,7,117.4,1,0,1,0,0,19,0,0,0,0,11.1,0.6,2.02,Dropout,0,12,0,0.0,0.0,0,0,0,0,0.0
1,1,1,130.0,3,1,2,8,122.2,0,1,1,0,0,20,4,0,5,0,11.1,0.6,2.02,Graduate,1,21,21,1.0,12.636363636363637,23,0,1,0,0.9130434782608695
1,1,1,122.0,37,38,4,7,118.2,1,0,1,0,0,19,0,0,0,0,16.2,0.3,-0.92,Dropout,0,12,0,0.0,0.0,0,0,0,0,0.0
1,1,1,113.0,1,1,4,4,106.7,1,0,1,0,0,20,0,0,0,0,15.5,2.8,-4.06,Dropout,0,12,8,0.6666666666666666,13.725,32,0,0,0,0.375
1,1,1,111.0,3,4,4,3,108.2,1,0,1,0,0,20,2,0,0,0,12.4,0.5,1.79,Dropout,0,14,11,0.7857142857142857,12.783333333333333,19,0,0,0,0.7368421052631579
1,1,1,133.1,19,1,9,3,107.0,1,0,1,0,0,20,0,0,0,0,16.2,0.3,-0.92,Enrolled,2,14,9,0.6428571428571429,12.333333333333332,22,0,0,0,0.6363636363636364
1,1,1,142.0,37,37,6,7,136.1,1,0,1,0,0,18,0,0,0,0,13.9,-0.3,0.79,Graduate,1,12,12,1.0,14.428571428571429,14,0,0,0,0.8571428571428571
1,1,1,123.0,1,38,4,7,115.3,1,0,1,0,1,18,0,0,0,0,8.9,1.4,3.51,Enrolled,2,10,6,0.6,12.0,20,0,0,0,0.5
1,1,1,131.0,19,19,9,9,139.8,1,0,1,0,0,19,0,0,0,0,10.8,1.4,1.74,Graduate,1,10,10,1.0,13.100000000000001,11,0,0,0,0.9090909090909091
1,1,1,158.0,1,38,4,7,157.0,1,0,1,0,0,18,0,0,0,0,10.8,1.4,1.74,Graduate,1,12,12,1.0,12.619047619047619,13,0,0,0,0.9230769230769231
1,1,1,122.0,37,37,9,9,131.0,1,0,1,0,0,18,0,1,0,1,7.6,2.6,0.32,Dropout,0,14,12,0.8571428571428571,12.516666666666666,14,0,0,0,1.0
1,1,1,130.0,38,38,9,5,100.0,0,0,1,0,0,20,0,0,0,0,13.9,-0.3,0.79,Enrolled,2,14,13,0.9285714285714286,12.308333333333334,18,0,0,0,0.7777777777777778
1,1,1,154.0,19,37,9,7,140.4,1,0,1,0,1,20,0,0,0,0,7.6,2.6,0.32,Enrolled,2,12,6,0.5,10.375,25,0,0,0,0.48
1,1,1,120.0,19,19,3,3,113.4,0,0,1,0,0,20,0,0,0,0,12.4,0.5,1.79,Enrolled,2,10,6,0.6,10.5,21,0,0,0,0.47619047619047616
1,1,1,140.0,37,38,9,7,137.0,0,0,1,0,0,18,0,2,0,0,9.4,-0.8,-3.12,Graduate,1,10,10,1.0,12.271428571428572,18,0,0,0,0.5555555555555556
1,1,1,127.0,2,19,4,5,121.8,0,0,1,0,0,18,0,0,0,0,11.1,0.6,2.02,Graduate,1,10,10,1.0,13.3,10,0,0,0,1.0
1,1,1,133.1,1,1,4,5,131.0,1,0,1,0,0,21,0,0,0,0,9.4,-0.8,-3.12,Dropout,0,12,5,0.4166666666666667,11.0,24,0,0,0,0.5
1,1,1,120.0,19,19,9,7,118.6,1,0,1,0,0,19,0,0,0,2,16.2,0.3,-0.92,Graduate,1,10,9,0.9,11.025,17,0,0,0,0.5882352941176471
1,1,1,137.0,3,19,2,9,122.3,0,0,1,0,0,19,0,0,0,0,10.8,1.4,1.74,Dropout,0,0,0,0.0,0.0,0,0,0,0,0.0
1,1,1,131.0,38,38,9,9,127.9,0,0,1,0,1,19,0,0,0,0,9.4,-0.8,-3.12,Graduate,1,10,10,1.0,13.5,10,0,0,1,1.0
1,1,1,130.0,19,38,4,7,121.3,1,0,1,0,0,19,0,0,0,0,15.5,2.8,-4.06,Graduate,1,12,12,1.0,13.183333333333334,28,0,0,0,0.42857142857142855
1,1,1,122.0,1,1,4,5,117.1,1,0,1,0,0,19,0,0,0,0,13.9,-0.3,0.79,Dropout,0,14,5,0.35714285714285715,6.05,12,0,0,0,1.1666666666666667
1,1,39,160.0,37,37,9,9,160.0,1,0,1,0,0,20,1,0,1,0,12.4,0.5,1.79,Graduate,1,12,11,0.9166666666666666,13.972222222222223,24,0,0,0,0.5
1,1,1,146.0,19,38,9,3,145.3,1,0,1,0,1,18,0,0,0,0,9.4,-0.8,-3.12,Enrolled,2,12,10,0.8333333333333334,13.100000000000001,15,0,0,1,0.8
1,1,1,131.0,1,39,5,3,122.6,1,0,1,0,0,18,0,0,0,0,12.4,0.5,1.79,Graduate,1,12,12,1.0,13.333333333333332,13,0,0,0,0.9230769230769231
1,1,1,132.0,1,37,8,9,128.0,1,0,1,0,0,19,0,0,0,0,12.4,0.5,1.79,Graduate,1,15,15,1.0,14.239126984126983,16,0,0,0,0.9375
1,1,1,138.0,19,19,5,8,124.9,1,0,1,0,1,18,0,0,0,0,13.9,-0.3,0.79,Dropout,0,15,14,0.9333333333333333,13.490178571428572,18,0,0,1,0.8333333333333334
1,1,1,130.0,37,37,9,9,123.7,1,0,1,0,0,18,0,0,0,0,7.6,2.6,0.32,Graduate,1,12,12,1.0,12.666666666666668,12,0,0,0,1.0
1,1,1,126.0,1,19,4,8,120.1,1,0,1,0,0,19,0,0,0,0,8.9,1.4,3.51,Graduate,1,10,10,1.0,13.5,12,0,0,0,0.8333333333333334
1,1,1,148.0,1,19,3,3,131.7,1,0,1,0,0,19,0,0,0,0,13.9,-0.3,0.79,Dropout,0,14,5,0.35714285714285715,7.0,15,0,0,0,0.9333333333333333
1,1,1,130.0,38,37,9,7,133.2,0,0,1,0,0,20,5,0,2,0,7.6,2.6,0.32,Graduate,1,16,16,1.0,11.69047619047619,23,0,0,0,0.6956521739130435
1,1,1,117.0,1,38,3,9,109.3,0,1,0,0,1,19,0,0,0,0,12.4,0.5,1.79,Dropout,0,12,9,0.75,12.25,16,0,1,1,0.75
1,1,1,120.0,19,19,5,5,113.0,1,0,1,0,0,20,0,0,0,0,7.6,2.6,0.32,Graduate,1,10,8,0.8,11.85,12,0,0,0,0.8333333333333334
1,1,1,153.0,1,1,141,175,157.9,0,1,1,0,1,18,0,0,0,0,8.9,1.4,3.51,Graduate,1,12,12,1.0,14.833333333333334,12,0,1,1,1.0
1,1,1,117.0,19,1,4,7,112.1,0,0,1,0,1,20,0,0,0,0,11.1,0.6,2.02,Enrolled,2,15,12,0.8,13.04042857142857,18,0,0,1,0.8333333333333334
1,1,1,178.0,19,1,4,8,174.7,0,0,1,0,0,18,0,0,0,0,13.9,-0.3,0.79,Graduate,1,15,15,1.0,17.35625,16,0,0,0,0.9375
1,1,1,129.0,37,37,9,9,128.8,1,0,1,0,0,19,0,0,0,0,7.6,2.6,0.32,Graduate,1,14,12,0.8571428571428571,12.666666666666666,14,0,0,0,1.0
1,1,1,116.0,19,1,4,4,110.1,1,0,1,0,1,19,0,0,0,0,12.4,0.5,1.79,Graduate,1,12,11,0.9166666666666666,12.333333333333332,18,0,0,1,0.6666666666666666
1,1,1,99.0,3,1,3,3,99.7,1,1,0,0,0,22,0,0,0,0,8.9,1.4,3.51,Enrolled,2,10,0,0.0,0.0,15,0,1,0,0.6666666666666666
1,1,1,135.0,1,12,9,10,121.0,1,0,1,0,1,19,0,0,0,0,12.4,0.5,1.79,Graduate,1,12,12,1.0,11.416666666666668,13,0,0,1,0.9230769230769231
1,1,1,141.0,19,19,9,7,131.7,1,0,1,0,1,19,0,0,0,0,15.5,2.8,-4.06,Graduate,1,15,15,1.0,12.968125,21,0,0,1,0.7142857142857143
1,1,1,132.0,37,38,5,6,119.1,1,0,1,0,1,19,0,0,0,0,9.4,-0.8,-3.12,Graduate,1,12,10,0.8333333333333334,11.4,19,0,0,1,0.631578947368421
